date,Total cases and total deaths (M),Symbol
2020/6/19,8648275,total cases
2020/6/19,460619,total deaths
2020/6/19,4250268,total recovered
2020/6/20,8804913,total cases
2020/6/20,464821,total deaths
2020/6/20,4366122,total recovered
2020/6/21,8932952,total cases
2020/6/21,468831,total deaths
2020/6/21,4434808,total recovered
2020/6/22,9071294,total cases
2020/6/22,472390,total deaths
2020/6/22,4526441,total recovered
2020/6/23,9237176,total cases
2020/6/23,477609,total deaths
2020/6/23,4630496,total recovered
2020/6/24,9408237,total cases
2020/6/24,482785,total deaths
2020/6/24,4746247,total recovered
2020/6/25,9586818,total cases
2020/6/25,487479,total deaths
2020/6/25,4839131,total recovered
2020/6/26,9778118,total cases
2020/6/26,492189,total deaths
2020/6/26,4945111,total recovered
2020/6/27,9955755,total cases
2020/6/27,496669,total deaths
2020/6/27,5051397,total recovered
2020/6/28,10119217,total cases
2020/6/28,499818,total deaths
2020/6/28,5140600,total recovered
2020/6/29,10273694,total cases
2020/6/29,503548,total deaths
2020/6/29,5235171,total recovered
2020/6/30,10447667,total cases
2020/6/30,508481,total deaths
2020/6/30,5352511,total recovered
2020/7/1,10665134,total cases
2020/7/1,513409,total deaths
2020/7/1,5468425,total recovered
2020/7/2,10874057,total cases
2020/7/2,518475,total deaths
2020/7/2,5753359,total recovered
2020/7/3,11075680,total cases
2020/7/3,523410,total deaths
2020/7/3,5863247,total recovered
2020/7/4,11269688,total cases
2020/7/4,527795,total deaths
2020/7/4,6059007,total recovered
2020/7/5,11452930,total cases
2020/7/5,531278,total deaths
2020/7/5,6178370,total recovered
2020/7/6,11617428,total cases
2020/7/6,535115,total deaths
2020/7/6,6302069,total recovered
2020/7/7,11828845,total cases
2020/7/7,541122,total deaths
2020/7/7,6447102,total recovered
2020/7/8,12042625,total cases
2020/7/8,546420,total deaths
2020/7/8,6605158,total recovered
2020/7/9,12269629,total cases
2020/7/9,551800,total deaths
2020/7/9,6739776,total recovered
2020/7/10,12502211,total cases
2020/7/10,557086,total deaths
2020/7/10,6879222,total recovered
2020/7/11,12719735,total cases
2020/7/11,561896,total deaths
2020/7/11,7004914,total recovered
2020/7/12,12912321,total cases
2020/7/12,565887,total deaths
2020/7/12,7116750,total recovered
2020/7/13,13103178,total cases
2020/7/13,569780,total deaths
2020/7/13,7257073,total recovered
2020/7/14,13324911,total cases
2020/7/14,575359,total deaths
2020/7/14,7399325,total recovered
2020/7/15,13556384,total cases
2020/7/15,580768,total deaths
2020/7/15,7559131,total recovered
2020/7/16,13808502,total cases
2020/7/16,586540,total deaths
2020/7/16,7711616,total recovered
2020/7/17,14050878,total cases
2020/7/17,593183,total deaths
2020/7/17,7895037,total recovered
2020/7/18,14287228,total cases
2020/7/18,598802,total deaths
2020/7/18,8045824,total recovered
2020/7/19,14500967,total cases
2020/7/19,602877,total deaths
2020/7/19,8133882,total recovered
2020/7/20,14707359,total cases
2020/7/20,607073,total deaths
2020/7/20,8293010,total recovered
2020/7/21,14940469,total cases
2020/7/21,613242,total deaths
2020/7/21,8467706,total recovered
2020/7/22,15221747,total cases
2020/7/22,620161,total deaths
2020/7/22,8647438,total recovered
2020/7/23,15504677,total cases
2020/7/23,630062,total deaths
2020/7/23,8823668,total recovered
2020/7/24,15785888,total cases
2020/7/24,636115,total deaths
2020/7/24,9051968,total recovered
2020/7/25,16040277,total cases
2020/7/25,641645,total deaths
2020/7/25,9271780,total recovered
2020/7/26,16253250,total cases
2020/7/26,645339,total deaths
2020/7/26,9415081,total recovered
2020/7/27,16479069,total cases
2020/7/27,650519,total deaths
2020/7/27,9586464,total recovered
2020/7/28,16731027,total cases
2020/7/28,656806,total deaths
2020/7/28,9756922,total recovered
2020/7/29,17022514,total cases
2020/7/29,663393,total deaths
2020/7/29,9959508,total recovered
2020/7/30,17302946,total cases
2020/7/30,669427,total deaths
2020/7/30,10173027,total recovered
2020/7/31,17593931,total cases
2020/7/31,675634,total deaths
2020/7/31,10372633,total recovered
2020/8/1,17842857,total cases
2020/8/1,681100,total deaths
2020/8/1,10553544,total recovered
2020/8/2,18074408,total cases
2020/8/2,685412,total deaths
2020/8/2,10692268,total recovered
2020/8/3,18280103,total cases
2020/8/3,690075,total deaths
2020/8/3,10914713,total recovered
2020/8/4,18536427,total cases
2020/8/4,696677,total deaths
2020/8/4,11138370,total recovered
2020/8/5,18812950,total cases
2020/8/5,703683,total deaths
2020/8/5,11360065,total recovered
2020/8/6,19098152,total cases
2020/8/6,710145,total deaths
2020/8/6,11548872,total recovered
2020/8/7,19379581,total cases
2020/8/7,716440,total deaths
2020/8/7,11740918,total recovered
2020/8/8,19638069,total cases
2020/8/8,721870,total deaths
2020/8/8,11941162,total recovered
2020/8/9,19863462,total cases
2020/8/9,726447,total deaths
2020/8/9,12119940,total recovered
2020/8/10,20090473,total cases
2020/8/10,731706,total deaths
2020/8/10,12284151,total recovered
2020/8/11,20346972,total cases
2020/8/11,737916,total deaths
2020/8/11,12589219,total recovered
2020/8/12,20624230,total cases
2020/8/12,744515,total deaths
2020/8/12,12829864,total recovered
2020/8/13,20913936,total cases
2020/8/13,750724,total deaths
2020/8/13,12993780,total recovered
2020/8/14,21216955,total cases
2020/8/14,760852,total deaths
2020/8/14,13277022,total recovered
2020/8/15,21464275,total cases
2020/8/15,766240,total deaths
2020/8/15,13445626,total recovered
2020/8/16,21680469,total cases
2020/8/16,770458,total deaths
2020/8/16,13678580,total recovered
2020/8/17,21888348,total cases
2020/8/17,774602,total deaths
2020/8/17,13889592,total recovered
2020/8/18,22146490,total cases
2020/8/18,781489,total deaths
2020/8/18,14117187,total recovered
2020/8/19,22426342,total cases
2020/8/19,788193,total deaths
2020/8/19,14335184,total recovered
2020/8/20,22698858,total cases
2020/8/20,794239,total deaths
2020/8/20,14542974,total recovered
2020/8/21,22959904,total cases
2020/8/21,799675,total deaths
2020/8/21,14711468,total recovered
2020/8/22,23224361,total cases
2020/8/22,805248,total deaths
2020/8/22,14921385,total recovered
2020/8/23,23430769,total cases
2020/8/23,809114,total deaths
2020/8/23,15137916,total recovered
2020/8/24,23655997,total cases
2020/8/24,813597,total deaths
2020/8/24,15337337,total recovered
2020/8/25,23899722,total cases
2020/8/25,819861,total deaths
2020/8/25,15568886,total recovered
2020/8/26,24183850,total cases
2020/8/26,826152,total deaths
2020/8/26,15794620,total recovered
2020/8/27,24467592,total cases
2020/8/27,832035,total deaths
2020/8/27,16001857,total recovered
2020/8/28,24751260,total cases
2020/8/28,837541,total deaths
2020/8/28,16200975,total recovered
2020/8/29,25017791,total cases
2020/8/29,842810,total deaths
2020/8/29,16412388,total recovered
2020/8/30,25239068,total cases
2020/8/30,846844,total deaths
2020/8/30,16622628,total recovered
2020/8/31,25501715,total cases
2020/8/31,851062,total deaths
2020/8/31,16823418,total recovered
2020/9/1,25766467,total cases
2020/9/1,857499,total deaths
2020/9/1,17081380,total recovered
2020/9/2,26049992,total cases
2020/9/2,863577,total deaths
2020/9/2,17300617,total recovered
2020/9/3,26331039,total cases
2020/9/3,869282,total deaths
2020/9/3,17521986,total recovered
2020/9/4,26644864,total cases
2020/9/4,875156,total deaths
2020/9/4,17735487,total recovered
2020/9/5,26914845,total cases
2020/9/5,880106,total deaths
2020/9/5,17936475,total recovered
2020/9/6,27145595,total cases
2020/9/6,883895,total deaths
2020/9/6,18148266,total recovered
2020/9/7,27363369,total cases
2020/9/7,893253,total deaths
2020/9/7,18345814,total recovered
2020/9/8,27605220,total cases
2020/9/8,898164,total deaths
2020/9/8,18547611,total recovered
2020/9/9,27889943,total cases
2020/9/9,904263,total deaths
2020/9/9,18787878,total recovered
2020/9/10,28189890,total cases
2020/9/10,910065,total deaths
2020/9/10,19004539,total recovered
2020/9/11,28510977,total cases
2020/9/11,915946,total deaths
2020/9/11,19228209,total recovered
2020/9/12,28797456,total cases
2020/9/12,920846,total deaths
2020/9/12,19451143,total recovered
2020/9/13,29040262,total cases
2020/9/13,924517,total deaths
2020/9/13,19638991,total recovered
2020/9/14,29303533,total cases
2020/9/14,928933,total deaths
2020/9/14,19867490,total recovered
2020/9/15,29588876,total cases
2020/9/15,935455,total deaths
2020/9/15,20093777,total recovered
2020/9/16,29892950,total cases
2020/9/16,941261,total deaths
2020/9/16,20323254,total recovered
2020/9/17,30207772,total cases
2020/9/17,946732,total deaths
2020/9/17,20543465,total recovered
2020/9/18,30533416,total cases
2020/9/18,952422,total deaths
2020/9/18,20794614,total recovered
2020/9/19,30825596,total cases
2020/9/19,957683,total deaths
2020/9/19,21031599,total recovered
2020/9/20,31077672,total cases
2020/9/20,961408,total deaths
2020/9/20,21268676,total recovered
2020/9/21,31353490,total cases
2020/9/21,965503,total deaths
2020/9/21,21514154,total recovered
2020/9/22,31637545,total cases
2020/9/22,971459,total deaths
2020/9/22,21733547,total recovered
2020/9/23,31912900,total cases
2020/9/23,977093,total deaths
2020/9/23,21996960,total recovered
2020/9/24,32265204,total cases
2020/9/24,983764,total deaths
2020/9/24,22252630,total recovered
2020/9/25,32595593,total cases
2020/9/25,989651,total deaths
2020/9/25,22491838,total recovered
2020/9/26,32883719,total cases
2020/9/26,994981,total deaths
2020/9/26,22753981,total recovered
2020/9/27,33135284,total cases
2020/9/27,998642,total deaths
2020/9/27,22967860,total recovered
2020/9/28,33389254,total cases
2020/9/28,1002584,total deaths
2020/9/28,23190402,total recovered
2020/9/29,33671083,total cases
2020/9/29,1008546,total deaths
2020/9/29,23431686,total recovered
2020/9/30,33999210,total cases
2020/9/30,1014974,total deaths
2020/9/30,23679904,total recovered
2020/10/1,34317276,total cases
2020/10/1,1023674,total deaths
2020/10/1,23901446,total recovered
2020/10/2,34614672,total cases
2020/10/2,1028677,total deaths
2020/10/2,24073731,total recovered
2020/10/3,34946710,total cases
2020/10/3,1034044,total deaths
2020/10/3,24329332,total recovered
2020/10/4,35208617,total cases
2020/10/4,1037856,total deaths
2020/10/4,24551491,total recovered
2020/10/5,35509247,total cases
2020/10/5,1044776,total deaths
2020/10/5,24788959,total recovered
2020/10/6,35835120,total cases
2020/10/6,1050567,total deaths
2020/10/6,25021585,total recovered
2020/10/7,36185785,total cases
2020/10/7,1056399,total deaths
2020/10/7,25276776,total recovered
2020/10/8,36547071,total cases
2020/10/8,1062656,total deaths
2020/10/8,25496282,total recovered
2020/10/9,36907485,total cases
2020/10/9,1068813,total deaths
2020/10/9,25703072,total recovered
2020/10/10,37264050,total cases
2020/10/10,1073669,total deaths
2020/10/10,25898477,total recovered
2020/10/11,37551609,total cases
2020/10/11,1077647,total deaths
2020/10/11,26121117,total recovered
2020/10/12,37842739,total cases
2020/10/12,1081588,total deaths
2020/10/12,26321236,total recovered
